InvoiceNumber,Date,Product_ID,Qty
333531,2022-06-06,1343,1
333532,2022-06-06,1343,5
333533,2022-06-06,1806,1
333534,2022-06-06,1493,4
333535,2022-06-06,1110,4
333536,2022-06-06,1806,3
333537,2022-06-06,1343,5
333538,2022-06-06,1843,2
333539,2022-06-06,1110,3
333540,2022-06-06,1837,3
333541,2022-06-06,1806,4
333542,2022-06-06,1843,1
333543,2022-06-06,1110,3
333544,2022-06-06,1241,5
333545,2022-06-07,1110,4
333546,2022-06-07,1110,5
333547,2022-06-07,1806,5
333548,2022-06-07,1843,1
333549,2022-06-07,1493,1
333550,2022-06-07,1837,5
333551,2022-06-07,1843,4
333552,2022-06-07,1837,5
333553,2022-06-07,1843,4
333554,2022-06-07,1493,3
333555,2022-06-07,1843,3
333556,2022-06-07,1837,2
333557,2022-06-07,1241,3
333558,2022-06-07,1843,1
333559,2022-06-08,1241,1
333560,2022-06-08,1806,3
333561,2022-06-08,1110,1
333562,2022-06-08,1110,5
333563,2022-06-08,1837,4
333564,2022-06-08,1343,1
333565,2022-06-08,1241,4
333566,2022-06-08,1843,4
333567,2022-06-08,1241,1
333568,2022-06-08,1343,1
333569,2022-06-08,1493,1
333570,2022-06-08,1843,4
333571,2022-06-08,1241,3
333572,2022-06-08,1110,1
333573,2022-06-09,1837,5
333574,2022-06-09,1343,4
333575,2022-06-09,1110,2
333576,2022-06-09,1343,2
333577,2022-06-09,1843,1
333578,2022-06-09,1343,5
333579,2022-06-09,1241,2
333580,2022-06-09,1343,2
333581,2022-06-09,1343,4
333582,2022-06-09,1843,3
333583,2022-06-09,1837,3
333584,2022-06-09,1241,3
333585,2022-06-09,1843,2
333586,2022-06-09,1343,5
333587,2022-06-10,1493,3
333588,2022-06-10,1843,3
333589,2022-06-10,1843,3
333590,2022-06-10,1241,4
333591,2022-06-10,1843,3
333592,2022-06-10,1843,1
333593,2022-06-10,1843,3
333594,2022-06-10,1493,5
333595,2022-06-10,1806,2
333596,2022-06-10,1493,2
333597,2022-06-10,1837,5
333598,2022-06-10,1837,1
333599,2022-06-10,1843,2
333600,2022-06-10,1843,3
333601,2022-06-11,1843,2
333602,2022-06-11,1493,2
333603,2022-06-11,1806,2
333604,2022-06-11,1343,1
333605,2022-06-11,1343,4
333606,2022-06-11,1843,4
333607,2022-06-11,1806,5
333608,2022-06-11,1110,3
333609,2022-06-11,1241,3
333610,2022-06-11,1110,2
333611,2022-06-11,1110,1
333612,2022-06-11,1806,5
333613,2022-06-11,1806,4
333614,2022-06-11,1110,3
333615,2022-06-12,1837,4
333616,2022-06-12,1837,3
333617,2022-06-12,1837,3
333618,2022-06-12,1241,4
333619,2022-06-12,1343,2
333620,2022-06-12,1493,2
333621,2022-06-12,1493,3
333622,2022-06-12,1343,2
333623,2022-06-12,1343,3
333624,2022-06-12,1837,5
333625,2022-06-12,1343,4
333626,2022-06-12,1343,1
333627,2022-06-12,1241,5
333628,2022-06-12,1493,4
333629,2022-06-13,1241,1
333630,2022-06-13,1110,3
333631,2022-06-13,1241,1
333632,2022-06-13,1110,1
333633,2022-06-13,1837,3
333634,2022-06-13,1837,4
333635,2022-06-13,1806,4
333636,2022-06-13,1241,5
333637,2022-06-13,1343,3
333638,2022-06-13,1343,5
333639,2022-06-13,1493,2
333640,2022-06-13,1843,1
333641,2022-06-13,1110,3
333642,2022-06-13,1837,1
333643,2022-06-14,1493,1
333644,2022-06-14,1110,4
333645,2022-06-14,1493,2
333646,2022-06-14,1806,2
333647,2022-06-14,1843,2
333648,2022-06-14,1806,4
333649,2022-06-14,1806,5
333650,2022-06-14,1493,5
333651,2022-06-14,1241,5
333652,2022-06-14,1837,4
333653,2022-06-14,1241,3
333654,2022-06-14,1241,2
333655,2022-06-14,1110,5
333656,2022-06-14,1493,1
333657,2022-06-15,1110,5
333658,2022-06-15,1110,4
333659,2022-06-15,1110,3
333660,2022-06-15,1241,5
333661,2022-06-15,1837,4
333662,2022-06-15,1110,5
333663,2022-06-15,1843,5
333664,2022-06-15,1806,2
333665,2022-06-15,1241,1
333666,2022-06-15,1241,5
333667,2022-06-15,1837,5
333668,2022-06-15,1493,3
333669,2022-06-15,1110,3
333670,2022-06-15,1837,4
333671,2022-06-16,1493,5
333672,2022-06-16,1493,4
333673,2022-06-16,1241,1
333674,2022-06-16,1493,2
333675,2022-06-16,1110,1
333676,2022-06-16,1843,2
333677,2022-06-16,1493,4
333678,2022-06-16,1843,3
333679,2022-06-16,1843,5
333680,2022-06-16,1110,5
333681,2022-06-16,1343,2
333682,2022-06-16,1343,2
333683,2022-06-16,1110,5
333684,2022-06-16,1806,5
333685,2022-06-17,1843,1
333686,2022-06-17,1343,4
333687,2022-06-17,1806,4
333688,2022-06-17,1493,5
333689,2022-06-17,1843,4
333690,2022-06-17,1241,2
333691,2022-06-17,1806,3
333692,2022-06-17,1806,2
333693,2022-06-17,1837,5
333694,2022-06-17,1843,4
333695,2022-06-17,1837,5
333696,2022-06-17,1843,1
333697,2022-06-17,1493,3
333698,2022-06-17,1843,5
333699,2022-06-18,1806,1
333700,2022-06-18,1343,5
333701,2022-06-18,1806,5
333702,2022-06-18,1343,5
333703,2022-06-18,1493,4
333704,2022-06-18,1110,2
333705,2022-06-18,1110,3
333706,2022-06-18,1837,1
333707,2022-06-18,1493,1
333708,2022-06-18,1241,3
333709,2022-06-18,1843,2
333710,2022-06-18,1343,2
333711,2022-06-18,1837,1
333712,2022-06-18,1493,3
333713,2022-06-19,1837,3
333714,2022-06-19,1110,5
333715,2022-06-19,1493,4
333716,2022-06-19,1837,2
333717,2022-06-19,1343,1
333718,2022-06-19,1843,2
333719,2022-06-19,1806,2
333720,2022-06-19,1843,4
333721,2022-06-19,1837,4
333722,2022-06-19,1241,2
333723,2022-06-19,1241,3
333724,2022-06-19,1493,1
333725,2022-06-19,1837,3
333726,2022-06-19,1493,2
333727,2022-06-20,1241,1
333728,2022-06-20,1806,5
333729,2022-06-20,1110,1
333730,2022-06-20,1843,1
333731,2022-06-20,1110,2
333732,2022-06-20,1837,3
333733,2022-06-20,1837,4
333734,2022-06-20,1843,1
333735,2022-06-20,1806,5
333736,2022-06-20,1837,5
333737,2022-06-20,1343,4
333738,2022-06-20,1343,2
333739,2022-06-20,1837,3
333740,2022-06-20,1493,2
333741,2022-06-21,1343,3
333742,2022-06-21,1837,5
333743,2022-06-21,1837,2
333744,2022-06-21,1806,1
333745,2022-06-21,1806,4
333746,2022-06-21,1241,5
333747,2022-06-21,1343,1
333748,2022-06-21,1837,2
333749,2022-06-21,1343,4
333750,2022-06-21,1843,5
333751,2022-06-21,1806,5
333752,2022-06-21,1837,4
333753,2022-06-21,1837,4
333754,2022-06-21,1837,5
333755,2022-06-22,1110,2
333756,2022-06-22,1837,3
333757,2022-06-22,1837,2
333758,2022-06-22,1837,3
333759,2022-06-22,1241,5
333760,2022-06-22,1837,5
333761,2022-06-22,1837,1
333762,2022-06-22,1806,1
333763,2022-06-22,1837,3
333764,2022-06-22,1110,1
333765,2022-06-22,1343,2
333766,2022-06-22,1343,2
333767,2022-06-22,1241,5
333768,2022-06-22,1493,5
333769,2022-06-23,1241,1
333770,2022-06-23,1110,4
333771,2022-06-23,1837,2
333772,2022-06-23,1493,2
333773,2022-06-23,1110,2
333774,2022-06-23,1241,5
333775,2022-06-23,1343,2
333776,2022-06-23,1493,3
333777,2022-06-23,1493,5
333778,2022-06-23,1343,3
333779,2022-06-23,1493,4
333780,2022-06-23,1837,2
333781,2022-06-23,1110,2
333782,2022-06-23,1343,3
333783,2022-06-24,1837,1
333784,2022-06-24,1806,5
333785,2022-06-24,1241,2
333786,2022-06-24,1806,1
333787,2022-06-24,1843,4
333788,2022-06-24,1343,1
333789,2022-06-24,1343,4
333790,2022-06-24,1241,4
333791,2022-06-24,1241,3
333792,2022-06-24,1110,4
333793,2022-06-24,1837,2
333794,2022-06-24,1806,5
333795,2022-06-24,1837,2
333796,2022-06-24,1843,5
333797,2022-06-25,1110,5
333798,2022-06-25,1493,5
333799,2022-06-25,1241,3
333800,2022-06-25,1241,5
333801,2022-06-25,1493,1
333802,2022-06-25,1241,2
333803,2022-06-25,1343,4
333804,2022-06-25,1843,4
333805,2022-06-25,1837,3
333806,2022-06-25,1837,4
333807,2022-06-25,1493,2
333808,2022-06-25,1493,3
333809,2022-06-25,1110,2
333810,2022-06-25,1343,5
333811,2022-06-26,1806,1
333812,2022-06-26,1343,3
333813,2022-06-26,1837,1
333814,2022-06-26,1493,2
333815,2022-06-26,1241,5
333816,2022-06-26,1837,3
333817,2022-06-26,1110,3
333818,2022-06-26,1241,5
333819,2022-06-26,1837,2
333820,2022-06-26,1241,3
333821,2022-06-26,1343,5
333822,2022-06-26,1493,1
333823,2022-06-26,1343,3
333824,2022-06-26,1343,5
333825,2022-06-27,1343,2
333826,2022-06-27,1241,3
333827,2022-06-27,1110,5
333828,2022-06-27,1837,2
333829,2022-06-27,1110,1
333830,2022-06-27,1343,1
333831,2022-06-27,1241,5
333832,2022-06-27,1110,2
333833,2022-06-27,1837,4
333834,2022-06-27,1837,1
333835,2022-06-27,1241,4
333836,2022-06-27,1241,5
333837,2022-06-27,1110,3
333838,2022-06-27,1837,1
333839,2022-06-28,1843,4
333840,2022-06-28,1110,1
333841,2022-06-28,1241,3
333842,2022-06-28,1806,5
333843,2022-06-28,1837,4
333844,2022-06-28,1806,1
333845,2022-06-28,1241,2
333846,2022-06-28,1493,3
333847,2022-06-28,1343,2
333848,2022-06-28,1343,1
333849,2022-06-28,1837,1
333850,2022-06-28,1241,3
333851,2022-06-28,1241,2
333852,2022-06-28,1110,5
333853,2022-06-29,1343,5
333854,2022-06-29,1110,2
333855,2022-06-29,1343,3
333856,2022-06-29,1837,2
333857,2022-06-29,1843,4
333858,2022-06-29,1837,5
333859,2022-06-29,1843,4
333860,2022-06-29,1493,1
333861,2022-06-29,1343,5
333862,2022-06-29,1110,1
333863,2022-06-29,1837,4
333864,2022-06-29,1493,2
333865,2022-06-29,1806,4
333866,2022-06-29,1493,1
333867,2022-06-30,1241,1
333868,2022-06-30,1843,4
333869,2022-06-30,1843,2
333870,2022-06-30,1110,3
333871,2022-06-30,1493,1
333872,2022-06-30,1241,5
333873,2022-06-30,1493,3
333874,2022-06-30,1837,1
333875,2022-06-30,1493,4
333876,2022-06-30,1110,3
333877,2022-06-30,1843,2
333878,2022-06-30,1343,5
333879,2022-06-30,1493,1
333880,2022-06-30,1493,2
333881,2022-07-01,1110,1
333882,2022-07-01,1493,5
333883,2022-07-01,1843,1
333884,2022-07-01,1837,3
333885,2022-07-01,1343,3
333886,2022-07-01,1837,1
333887,2022-07-01,1806,2
333888,2022-07-01,1493,1
333889,2022-07-01,1493,2
333890,2022-07-01,1343,3
333891,2022-07-01,1843,4
333892,2022-07-01,1806,5
333893,2022-07-01,1843,1
333894,2022-07-01,1343,1
333895,2022-07-02,1241,1
333896,2022-07-02,1843,3
333897,2022-07-02,1110,1
333898,2022-07-02,1493,1
333899,2022-07-02,1493,2
333900,2022-07-02,1806,4
333901,2022-07-02,1241,2
333902,2022-07-02,1837,2
333903,2022-07-02,1837,4
333904,2022-07-02,1343,1
333905,2022-07-02,1110,3
333906,2022-07-02,1843,1
333907,2022-07-02,1241,5
333908,2022-07-02,1493,3
333909,2022-07-03,1493,5
333910,2022-07-03,1343,3
333911,2022-07-03,1806,5
333912,2022-07-03,1493,1
333913,2022-07-03,1806,3
333914,2022-07-03,1343,1
333915,2022-07-03,1110,3
333916,2022-07-03,1241,2
333917,2022-07-03,1843,1
333918,2022-07-03,1493,1
333919,2022-07-03,1843,2
333920,2022-07-03,1806,2
333921,2022-07-03,1493,1
333922,2022-07-03,1110,1
333923,2022-07-04,1837,3
333924,2022-07-04,1110,1
333925,2022-07-04,1806,4
333926,2022-07-04,1806,5
333927,2022-07-04,1493,2
333928,2022-07-04,1837,4
333929,2022-07-04,1241,5
333930,2022-07-04,1837,1
333931,2022-07-04,1343,5
333932,2022-07-04,1343,3
333933,2022-07-04,1806,5
333934,2022-07-04,1837,2
333935,2022-07-04,1806,4
333936,2022-07-04,1110,3
333937,2022-07-05,1806,4
333938,2022-07-05,1343,1
333939,2022-07-05,1493,5
333940,2022-07-05,1837,3
333941,2022-07-05,1493,5
333942,2022-07-05,1843,5
333943,2022-07-05,1110,3
333944,2022-07-05,1343,4
333945,2022-07-05,1806,3
333946,2022-07-05,1493,4
333947,2022-07-05,1110,4
333948,2022-07-05,1493,1
333949,2022-07-05,1241,4
333950,2022-07-05,1843,4
333951,2022-07-06,1241,5
333952,2022-07-06,1110,4
333953,2022-07-06,1343,5
333954,2022-07-06,1493,4
333955,2022-07-06,1837,3
333956,2022-07-06,1493,5
333957,2022-07-06,1110,5
333958,2022-07-06,1837,1
333959,2022-07-06,1837,2
333960,2022-07-06,1241,3
333961,2022-07-06,1837,2
333962,2022-07-06,1843,2
333963,2022-07-06,1843,4
333964,2022-07-06,1843,1
333965,2022-07-07,1343,1
333966,2022-07-07,1343,1
333967,2022-07-07,1110,3
333968,2022-07-07,1843,1
333969,2022-07-07,1843,5
333970,2022-07-07,1343,1
333971,2022-07-07,1843,3
333972,2022-07-07,1343,3
333973,2022-07-07,1806,3
333974,2022-07-07,1343,5
333975,2022-07-07,1110,4
333976,2022-07-07,1343,2
333977,2022-07-07,1837,5
333978,2022-07-07,1493,1
333979,2022-07-08,1493,5
333980,2022-07-08,1806,1
333981,2022-07-08,1806,5
333982,2022-07-08,1343,4
333983,2022-07-08,1241,3
333984,2022-07-08,1241,1
333985,2022-07-08,1843,2
333986,2022-07-08,1837,5
333987,2022-07-08,1241,5
333988,2022-07-08,1843,4
333989,2022-07-08,1843,4
333990,2022-07-08,1843,5
333991,2022-07-08,1837,1
333992,2022-07-08,1837,3
333993,2022-07-09,1493,3
333994,2022-07-09,1837,1
333995,2022-07-09,1343,5
333996,2022-07-09,1806,3
333997,2022-07-09,1493,4
333998,2022-07-09,1806,3
333999,2022-07-09,1837,1
334000,2022-07-09,1806,5
334001,2022-07-09,1241,2
334002,2022-07-09,1343,4
334003,2022-07-09,1241,5
334004,2022-07-09,1110,4
334005,2022-07-09,1843,1
334006,2022-07-09,1493,5
334007,2022-07-10,1343,2
334008,2022-07-10,1343,1
334009,2022-07-10,1806,4
334010,2022-07-10,1843,1
334011,2022-07-10,1493,5
334012,2022-07-10,1493,3
334013,2022-07-10,1110,1
334014,2022-07-10,1806,2
334015,2022-07-10,1837,1
334016,2022-07-10,1493,2
334017,2022-07-10,1837,1
334018,2022-07-10,1843,4
334019,2022-07-10,1343,2
334020,2022-07-10,1843,2
334021,2022-07-11,1806,2
334022,2022-07-11,1110,4
334023,2022-07-11,1843,4
334024,2022-07-11,1241,4
334025,2022-07-11,1110,5
334026,2022-07-11,1241,1
334027,2022-07-11,1837,4
334028,2022-07-11,1843,4
334029,2022-07-11,1837,5
334030,2022-07-11,1843,5
334031,2022-07-11,1110,2
334032,2022-07-11,1843,4
334033,2022-07-11,1241,1
334034,2022-07-11,1110,4
334035,2022-07-12,1806,2
334036,2022-07-12,1343,2
334037,2022-07-12,1343,5
334038,2022-07-12,1806,2
334039,2022-07-12,1837,3
334040,2022-07-12,1493,1
334041,2022-07-12,1837,5
334042,2022-07-12,1110,2
334043,2022-07-12,1110,1
334044,2022-07-12,1110,5
334045,2022-07-12,1843,2
334046,2022-07-12,1493,5
334047,2022-07-12,1837,4
334048,2022-07-12,1110,4
334049,2022-07-13,1837,1
334050,2022-07-13,1843,4
334051,2022-07-13,1837,2
334052,2022-07-13,1837,5
334053,2022-07-13,1837,3
334054,2022-07-13,1843,3
334055,2022-07-13,1806,2
334056,2022-07-13,1241,1
334057,2022-07-13,1493,4
334058,2022-07-13,1493,3
334059,2022-07-13,1806,4
334060,2022-07-13,1806,1
334061,2022-07-13,1110,5
334062,2022-07-13,1843,2
334063,2022-07-14,1343,3
334064,2022-07-14,1493,4
334065,2022-07-14,1343,5
334066,2022-07-14,1837,1
334067,2022-07-14,1493,5
334068,2022-07-14,1241,4
334069,2022-07-14,1493,4
334070,2022-07-14,1343,5
334071,2022-07-14,1806,4
334072,2022-07-14,1343,5
334073,2022-07-14,1110,2
334074,2022-07-14,1493,3
334075,2022-07-14,1110,1
334076,2022-07-14,1343,2
334077,2022-07-15,1493,2
334078,2022-07-15,1110,5
334079,2022-07-15,1837,2
334080,2022-07-15,1241,2
334081,2022-07-15,1843,3
334082,2022-07-15,1343,4
334083,2022-07-15,1837,4
334084,2022-07-15,1493,5
334085,2022-07-15,1241,5
334086,2022-07-15,1843,3
334087,2022-07-15,1110,4
334088,2022-07-15,1837,5
334089,2022-07-15,1806,5
334090,2022-07-15,1843,5
334091,2022-07-16,1843,4
334092,2022-07-16,1343,3
334093,2022-07-16,1241,4
334094,2022-07-16,1843,3
334095,2022-07-16,1110,1
334096,2022-07-16,1806,3
334097,2022-07-16,1241,3
334098,2022-07-16,1241,3
334099,2022-07-16,1343,4
334100,2022-07-16,1837,4
334101,2022-07-16,1493,2
334102,2022-07-16,1493,3
334103,2022-07-16,1837,2
334104,2022-07-16,1343,1
334105,2022-07-17,1493,1
334106,2022-07-17,1843,1
334107,2022-07-17,1493,3
334108,2022-07-17,1493,5
334109,2022-07-17,1343,1
334110,2022-07-17,1343,3
334111,2022-07-17,1241,5
334112,2022-07-17,1806,2
334113,2022-07-17,1843,4
334114,2022-07-17,1343,4
334115,2022-07-17,1843,5
334116,2022-07-17,1843,4
334117,2022-07-17,1806,3
334118,2022-07-17,1843,5
334119,2022-07-18,1837,3
334120,2022-07-18,1493,1
334121,2022-07-18,1493,5
334122,2022-07-18,1241,5
334123,2022-07-18,1110,5
334124,2022-07-18,1110,1
334125,2022-07-18,1343,3
334126,2022-07-18,1493,4
334127,2022-07-18,1493,5
334128,2022-07-18,1343,2
334129,2022-07-18,1343,3
334130,2022-07-18,1806,1
334131,2022-07-18,1493,5
334132,2022-07-18,1806,2
334133,2022-07-19,1343,1
334134,2022-07-19,1806,2
334135,2022-07-19,1241,2
334136,2022-07-19,1241,3
334137,2022-07-19,1241,2
334138,2022-07-19,1837,2
334139,2022-07-19,1843,4
334140,2022-07-19,1843,2
334141,2022-07-19,1493,4
334142,2022-07-19,1343,2
334143,2022-07-19,1843,5
334144,2022-07-19,1343,2
334145,2022-07-19,1837,5
334146,2022-07-19,1343,4
334147,2022-07-20,1493,1
334148,2022-07-20,1110,4
334149,2022-07-20,1110,3
334150,2022-07-20,1806,4
334151,2022-07-20,1837,1
334152,2022-07-20,1837,3
334153,2022-07-20,1110,2
334154,2022-07-20,1806,4
334155,2022-07-20,1843,4
334156,2022-07-20,1837,3
334157,2022-07-20,1806,4
334158,2022-07-20,1843,2
334159,2022-07-20,1843,1
334160,2022-07-20,1843,1
334161,2022-07-21,1837,3
334162,2022-07-21,1110,1
334163,2022-07-21,1493,1
334164,2022-07-21,1806,3
334165,2022-07-21,1843,5
334166,2022-07-21,1806,5
334167,2022-07-21,1806,4
334168,2022-07-21,1806,3
334169,2022-07-21,1843,5
334170,2022-07-21,1837,5
334171,2022-07-21,1110,1
334172,2022-07-21,1493,5
334173,2022-07-21,1241,1
334174,2022-07-21,1493,2
334175,2022-07-22,1343,4
334176,2022-07-22,1843,3
334177,2022-07-22,1110,1
334178,2022-07-22,1110,1
334179,2022-07-22,1837,4
334180,2022-07-22,1493,4
334181,2022-07-22,1806,5
334182,2022-07-22,1806,1
334183,2022-07-22,1837,5
334184,2022-07-22,1493,5
334185,2022-07-22,1241,1
334186,2022-07-22,1806,4
334187,2022-07-22,1493,2
334188,2022-07-22,1837,4
334189,2022-07-23,1843,2
334190,2022-07-23,1241,3
334191,2022-07-23,1493,4
334192,2022-07-23,1837,5
334193,2022-07-23,1837,1
334194,2022-07-23,1241,1
334195,2022-07-23,1843,1
334196,2022-07-23,1241,4
334197,2022-07-23,1806,4
334198,2022-07-23,1493,2
334199,2022-07-23,1806,5
334200,2022-07-23,1493,4
334201,2022-07-23,1843,4
334202,2022-07-23,1843,2
334203,2022-07-24,1837,3
334204,2022-07-24,1110,2
334205,2022-07-24,1843,2
334206,2022-07-24,1110,2
334207,2022-07-24,1110,5
334208,2022-07-24,1110,3
334209,2022-07-24,1843,1
334210,2022-07-24,1241,4
334211,2022-07-24,1806,1
334212,2022-07-24,1343,1
334213,2022-07-24,1343,2
334214,2022-07-24,1343,3
334215,2022-07-24,1343,4
334216,2022-07-24,1110,3
334217,2022-07-25,1806,2
334218,2022-07-25,1837,3
334219,2022-07-25,1837,4
334220,2022-07-25,1343,5
334221,2022-07-25,1241,5
334222,2022-07-25,1110,3
334223,2022-07-25,1241,3
334224,2022-07-25,1806,5
334225,2022-07-25,1837,2
334226,2022-07-25,1241,5
334227,2022-07-25,1110,5
334228,2022-07-25,1493,2
334229,2022-07-25,1843,2
334230,2022-07-25,1493,4
334231,2022-07-26,1837,3
334232,2022-07-26,1837,3
334233,2022-07-26,1837,4
334234,2022-07-26,1493,4
334235,2022-07-26,1493,4
334236,2022-07-26,1493,2
334237,2022-07-26,1110,3
334238,2022-07-26,1843,3
334239,2022-07-26,1343,5
334240,2022-07-26,1343,2
334241,2022-07-26,1343,4
334242,2022-07-26,1493,1
334243,2022-07-26,1837,5
334244,2022-07-26,1110,1
334245,2022-07-27,1837,1
334246,2022-07-27,1493,1
334247,2022-07-27,1843,1
334248,2022-07-27,1843,1
334249,2022-07-27,1493,2
334250,2022-07-27,1837,5
334251,2022-07-27,1843,2
334252,2022-07-27,1493,2
334253,2022-07-27,1843,5
334254,2022-07-27,1493,3
334255,2022-07-27,1806,2
334256,2022-07-27,1241,1
334257,2022-07-27,1843,1
334258,2022-07-27,1843,1
334259,2022-07-28,1241,2
334260,2022-07-28,1343,2
334261,2022-07-28,1343,3
334262,2022-07-28,1806,2
334263,2022-07-28,1493,5
334264,2022-07-28,1843,1
334265,2022-07-28,1837,3
334266,2022-07-28,1493,2
334267,2022-07-28,1493,2
334268,2022-07-28,1493,1
334269,2022-07-28,1343,4
334270,2022-07-28,1343,3
334271,2022-07-28,1493,5
334272,2022-07-28,1343,1
334273,2022-07-29,1343,3
334274,2022-07-29,1806,5
334275,2022-07-29,1343,5
334276,2022-07-29,1806,5
334277,2022-07-29,1837,4
334278,2022-07-29,1843,2
334279,2022-07-29,1843,5
334280,2022-07-29,1806,2
334281,2022-07-29,1241,2
334282,2022-07-29,1837,4
334283,2022-07-29,1493,1
334284,2022-07-29,1806,3
334285,2022-07-29,1493,5
334286,2022-07-29,1843,2
334287,2022-07-30,1343,1
334288,2022-07-30,1843,3
334289,2022-07-30,1110,2
334290,2022-07-30,1806,1
334291,2022-07-30,1493,3
334292,2022-07-30,1806,3
334293,2022-07-30,1843,5
334294,2022-07-30,1343,4
334295,2022-07-30,1806,3
334296,2022-07-30,1493,1
334297,2022-07-30,1493,4
334298,2022-07-30,1110,5
334299,2022-07-30,1837,5
334300,2022-07-30,1837,4
334301,2022-07-31,1806,3
334302,2022-07-31,1806,2
334303,2022-07-31,1806,5
334304,2022-07-31,1806,3
334305,2022-07-31,1110,4
334306,2022-07-31,1843,2
334307,2022-07-31,1837,1
334308,2022-07-31,1843,5
334309,2022-07-31,1837,4
334310,2022-07-31,1837,3
334311,2022-07-31,1343,1
334312,2022-07-31,1343,3
334313,2022-07-31,1837,1
334314,2022-07-31,1806,2
334315,2022-08-01,1343,3
334316,2022-08-01,1110,3
334317,2022-08-01,1241,1
334318,2022-08-01,1843,5
334319,2022-08-01,1241,5
334320,2022-08-01,1843,2
334321,2022-08-01,1343,1
334322,2022-08-01,1837,5
334323,2022-08-01,1343,4
334324,2022-08-01,1837,3
334325,2022-08-01,1343,4
334326,2022-08-01,1343,3
334327,2022-08-01,1493,4
334328,2022-08-01,1110,1
334329,2022-08-02,1806,2
334330,2022-08-02,1493,2
334331,2022-08-02,1806,5
334332,2022-08-02,1241,3
334333,2022-08-02,1493,1
334334,2022-08-02,1493,2
334335,2022-08-02,1843,3
334336,2022-08-02,1241,4
334337,2022-08-02,1843,1
334338,2022-08-02,1343,3
334339,2022-08-02,1837,3
334340,2022-08-02,1241,5
334341,2022-08-02,1343,4
334342,2022-08-02,1843,4
334343,2022-08-03,1843,1
334344,2022-08-03,1110,5
334345,2022-08-03,1110,1
334346,2022-08-03,1493,5
334347,2022-08-03,1241,1
334348,2022-08-03,1493,2
334349,2022-08-03,1110,2
334350,2022-08-03,1806,3
334351,2022-08-03,1343,2
334352,2022-08-03,1493,5
334353,2022-08-03,1806,5
334354,2022-08-03,1806,2
334355,2022-08-03,1241,2
334356,2022-08-03,1806,1
334357,2022-08-04,1493,2
334358,2022-08-04,1843,3
334359,2022-08-04,1843,1
334360,2022-08-04,1806,2
334361,2022-08-04,1343,5
334362,2022-08-04,1241,4
334363,2022-08-04,1843,4
334364,2022-08-04,1343,2
334365,2022-08-04,1493,5
334366,2022-08-04,1843,3
334367,2022-08-04,1110,4
334368,2022-08-04,1493,3
334369,2022-08-04,1843,5
334370,2022-08-04,1493,3
334371,2022-08-05,1493,1
334372,2022-08-05,1493,4
334373,2022-08-05,1343,3
334374,2022-08-05,1343,1
334375,2022-08-05,1110,4
334376,2022-08-05,1493,1
334377,2022-08-05,1343,2
334378,2022-08-05,1806,1
334379,2022-08-05,1843,4
334380,2022-08-05,1343,4
334381,2022-08-05,1843,1
334382,2022-08-05,1806,3
334383,2022-08-05,1110,2
334384,2022-08-05,1843,5
334385,2022-08-06,1843,2
334386,2022-08-06,1843,3
334387,2022-08-06,1110,3
334388,2022-08-06,1806,3
334389,2022-08-06,1843,3
334390,2022-08-06,1241,3
