financial_advisor_id,customer_id,day,office_location_id,id
771,683,2022-03-22,1,383
772,684,2022-03-02,1,384
754,685,2022-03-04,2,385
751,686,2022-04-07,2,386
752,687,2022-04-30,2,387
774,688,2022-03-11,0,388
756,689,2022-05-17,0,389
772,690,2022-03-22,2,390
775,691,2022-05-02,3,391
775,692,2022-03-30,0,392
766,693,2022-05-09,1,393
768,694,2022-03-17,3,394
762,695,2022-04-22,2,395
758,696,2022-03-04,3,396
766,697,2022-05-13,0,397
769,698,2022-03-10,0,398
764,699,2022-05-22,2,399
767,700,2022-05-18,1,400
774,701,2022-03-14,1,401
766,702,2022-03-07,0,402
774,703,2022-03-27,3,403
779,704,2022-05-10,3,404
773,705,2022-04-02,0,405
779,706,2022-05-20,3,406
755,707,2022-04-09,2,407
760,708,2022-05-02,1,408
751,709,2022-03-20,1,409
764,710,2022-05-28,1,410
769,711,2022-05-02,0,411
754,712,2022-05-05,1,412
773,713,2022-05-29,2,413
774,714,2022-05-19,3,414
751,715,2022-04-10,2,415
758,716,2022-05-11,1,416
778,717,2022-05-21,1,417
771,718,2022-04-09,1,418
770,719,2022-05-03,1,419
766,720,2022-05-29,3,420
775,721,2022-05-06,0,421
765,722,2022-04-16,1,422
776,723,2022-05-12,1,423
763,724,2022-04-30,1,424
774,725,2022-05-04,3,425
770,726,2022-03-22,2,426
750,727,2022-03-17,1,427
778,728,2022-03-24,2,428
779,729,2022-04-11,1,429
756,730,2022-04-29,3,430
757,731,2022-05-22,2,431
778,732,2022-04-07,2,432
760,733,2022-05-12,0,433
773,734,2022-05-27,0,434
775,735,2022-03-09,3,435
752,736,2022-03-18,0,436
768,737,2022-04-02,0,437
766,738,2022-05-22,1,438
777,739,2022-04-11,1,439
771,740,2022-05-20,1,440
772,741,2022-05-04,2,441
750,742,2022-05-28,1,442
776,743,2022-05-01,3,443
752,744,2022-03-04,2,444
773,745,2022-04-09,2,445
754,746,2022-05-03,3,446
765,747,2022-04-26,1,447
755,748,2022-04-08,2,448
766,749,2022-05-18,1,449
